Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2015-01-02,272.537109375,274.9513112564299,269.2595983946528,273.4920931897254,367000
2015-01-05,265.4854431152344,270.6576259445292,264.797859580244,269.87072038386793,465900
2015-01-06,261.36004638671875,268.6408440440819,258.6478776238878,266.40236696722616,626400
2015-01-07,266.8912658691406,267.38022883211914,263.01022143940736,263.6901578731925,388300
2015-01-08,270.00830078125,270.9479898869696,268.6101914890313,269.56517525665424,480600
2015-01-09,266.80718994140625,270.84866440787937,265.05765317311193,270.4437522281466,542500
2015-01-12,265.04998779296875,269.21372600944267,263.00250835620267,267.5558640641681,331500
2015-01-13,265.85223388671875,270.82577394939045,263.49914061155243,267.22740131192,406700
2015-01-14,264.1485290527344,265.6077471520302,260.14524427280423,264.0186409924155,717400
2015-01-15,261.6274108886719,267.0746197261215,260.19111130503825,266.68500213080137,661800
2015-01-16,265.92095947265625,266.3334956639508,259.0679951813135,261.627356282646,916300
2015-01-20,264.790283203125,268.61786599174354,263.323441044098,267.40312931425575,939800
2015-01-21,267.0134582519531,268.1594387594722,261.6731965477247,263.29284526794635,822300
2015-01-22,275.6389465332031,276.59393052667923,266.2266186978934,270.4514669524301,714600
2015-01-23,271.30706787109375,276.34938688578416,271.2994205400532,276.0055833994286,415000
2015-01-26,273.0413818359375,273.85120635894737,269.42006684951457,270.45145417675553,470000
2015-01-27,268.5261535644531,271.21537935506916,267.991353349571,269.87840213289627,435800
2015-01-28,263.59844970703125,270.9938387211428,263.399805614141,270.0617735918619,562200
2015-01-29,265.05780029296875,265.9898658882842,261.8719624576961,264.1792194132561,593600
2015-01-30,260.1453552246094,265.837047325977,259.9619823956547,263.6444072336416,663200
2015-02-02,265.592529296875,265.9439568911141,259.3278247445722,261.56630171152614,610100
2015-02-03,269.6491394042969,269.99291946128,265.91323291323226,265.91323291323226,655300
2015-02-04,267.991455078125,270.703600575183,263.53741952870814,264.7521564967309,543800
2015-02-05,274.13385009765625,274.89783717892834,268.93109993939623,269.18320541760045,743600
2015-02-06,276.891845703125,280.74234730775174,275.149956005919,276.7543336174332,653700
2015-02-09,275.70001220703125,277.014070909501,274.1414720447915,275.0582658614114,402500
2015-02-10,283.18707275390625,284.2413552337658,278.35102196690474,278.85525618685483,726700
2015-02-11,282.5989074707031,284.39428235137655,280.60491173932576,282.3315072433615,461300
2015-02-12,286.4034729003906,286.84657513675666,282.6752123156596,282.6752123156596,444700
2015-02-13,287.2896728515625,288.8099994934632,285.57832614805756,286.411092480339,553700
2015-02-17,290.56719970703125,292.4848147639139,288.6343133017601,289.94074801260246,1122400
2015-02-18,288.68011474609375,291.2089331494318,287.86266638084993,290.72761761216555,583200
2015-02-19,288.48907470703125,289.87953642492,287.29725703884924,287.786219833503,498700
2015-02-20,287.7481994628906,288.5351054810106,285.08186782417715,287.04532085993776,774200
2015-02-23,287.5876770019531,288.7871424219071,285.5020070060856,288.1530433466342,443600
2015-02-24,288.87109375,290.22336556973426,288.02307942883834,288.5655036337714,451700
2015-02-25,287.1981506347656,289.283821293119,286.92310304984574,288.5885899686529,443200
2015-02-26,286.51043701171875,288.0307872117282,285.1581882232026,286.334734898402,397700
2015-02-27,283.7600402832031,287.90848378304963,283.7294742773115,286.5103746226394,702200
2015-03-02,287.5800476074219,287.7863157404529,281.0555909464906,283.76011193252674,478000
2015-03-03,285.4715576171875,286.99188520451935,283.3247547159125,285.9452261128358,428900
2015-03-04,283.6731262207031,285.03331015352006,282.18996077883105,283.6039432588967,371000
2015-03-05,284.2879333496094,285.4713842975666,282.28990567759007,284.3340396961144,366100
2015-03-06,280.8528747558594,288.59137722219856,280.37642686570393,283.9728626673822,538700
2015-03-09,280.1766357421875,282.77406958944243,279.3697511585203,280.8528934837044,519200
2015-03-10,273.7215270996094,278.76269203180976,273.6293143859006,277.60229399663416,531200
2015-03-11,275.42755126953125,276.5264586019145,274.05967453608304,274.45927080644196,464700
2015-03-12,283.3427734375,283.5118378986708,277.11048845661094,277.11048845661094,474400
2015-03-13,282.5973205566406,284.31871034100914,279.8769520029809,283.5579086353825,521700
2015-03-16,287.46954345703125,287.97673699380687,284.1190220619208,284.8490786948252,491800
